project,file,class,method,methodSignature,line,eligible,discardReasons,ccBefore,ccAfter,delta,outerCondition,innerCondition
jackson-core,src/main/java/tools/jackson/core/base/ParserBase.java,ParserBase,_decodeBase64Escape,"int _decodeBase64Escape(Base64Variant, int, int)",1041,YES,,7,5,-2,unescaped <= INT_SPACE,index == 0
jackson-core,src/main/java/tools/jackson/core/base/ParserBase.java,ParserBase,_decodeBase64Escape,"int _decodeBase64Escape(Base64Variant, int, int)",1048,YES,,7,5,-2,bits < 0,bits != Base64Variant.BASE64_VALUE_PADDING
jackson-core,src/main/java/tools/jackson/core/base/ParserBase.java,ParserBase,_decodeBase64Escape,"int _decodeBase64Escape(Base64Variant, char, int)",1065,YES,,8,6,-2,unescaped <= INT_SPACE,index == 0
jackson-core,src/main/java/tools/jackson/core/base/ParserBase.java,ParserBase,_decodeBase64Escape,"int _decodeBase64Escape(Base64Variant, char, int)",1072,YES,,8,6,-2,bits < 0,(bits != Base64Variant.BASE64_VALUE_PADDING) || (index < 2)
jackson-core,src/main/java/tools/jackson/core/json/JsonParserBase.java,JsonParserBase,_parseIntValue,int _parseIntValue(),252,YES,,4,3,-1,_currToken == JsonToken.VALUE_NUMBER_INT,_intLength <= 9
jackson-core,src/main/java/tools/jackson/core/json/ReaderBasedJsonParser.java,ReaderBasedJsonParser,nextToken,JsonToken nextToken(),728,YES,,21,19,-2,(_formatReadFeatures & FEAT_MASK_TRAILING_COMMA) != 0,(i | 0x20) == INT_RCURLY
jackson-core,src/main/java/tools/jackson/core/json/ReaderBasedJsonParser.java,ReaderBasedJsonParser,nextName,boolean nextName(SerializableString),887,YES,,31,29,-2,(_formatReadFeatures & FEAT_MASK_TRAILING_COMMA) != 0,(i | 0x20) == INT_RCURLY
jackson-core,src/main/java/tools/jackson/core/json/ReaderBasedJsonParser.java,ReaderBasedJsonParser,nextName,String nextName(),958,YES,,17,15,-2,(_formatReadFeatures & FEAT_MASK_TRAILING_COMMA) != 0,(i | 0x20) == INT_RCURLY
jackson-core,src/main/java/tools/jackson/core/json/ReaderBasedJsonParser.java,ReaderBasedJsonParser,_skipColonFast,int _skipColonFast(int),2505,YES,,36,28,-8,i > INT_SPACE,i != INT_SLASH && i != INT_HASH
jackson-core,src/main/java/tools/jackson/core/json/ReaderBasedJsonParser.java,ReaderBasedJsonParser,_skipColonFast,int _skipColonFast(int),2528,YES,,36,28,-8,i > INT_SPACE,i != INT_SLASH && i != INT_HASH
jackson-core,src/main/java/tools/jackson/core/json/UTF8JsonGenerator.java,UTF8JsonGenerator,_outputRawMultiByteChar,"int _outputRawMultiByteChar(int, char[], int, int)",2221,YES,,8,6,-2,ch >= SURR1_FIRST,ch <= SURR2_LAST
jackson-core,src/main/java/tools/jackson/core/json/UTF8StreamJsonParser.java,UTF8StreamJsonParser,_releaseBuffers,void _releaseBuffers(),270,YES,,6,4,-2,buf != null,buf != NO_BYTES
jackson-core,src/main/java/tools/jackson/core/json/UTF8StreamJsonParser.java,UTF8StreamJsonParser,nextToken,JsonToken nextToken(),755,YES,,20,18,-2,(_formatReadFeatures & FEAT_MASK_TRAILING_COMMA) != 0,(i == INT_RBRACKET) || (i == INT_RCURLY)
jackson-core,src/main/java/tools/jackson/core/json/UTF8StreamJsonParser.java,UTF8StreamJsonParser,nextName,String nextName(),953,YES,,20,18,-2,(_formatReadFeatures & FEAT_MASK_TRAILING_COMMA) != 0,(i == INT_RBRACKET) || (i == INT_RCURLY)
jackson-core,src/main/java/tools/jackson/core/json/UTF8StreamJsonParser.java,UTF8StreamJsonParser,nextName,boolean nextName(SerializableString),1069,YES,,35,33,-2,(_formatReadFeatures & FEAT_MASK_TRAILING_COMMA) != 0,(i == INT_RBRACKET) || (i == INT_RCURLY)
jackson-core,src/main/java/tools/jackson/core/json/UTF8StreamJsonParser.java,UTF8StreamJsonParser,_skipColonFast,int _skipColonFast(int),1264,YES,,36,28,-8,i > INT_SPACE,i != INT_SLASH && i != INT_HASH
jackson-core,src/main/java/tools/jackson/core/json/UTF8StreamJsonParser.java,UTF8StreamJsonParser,_skipColonFast,int _skipColonFast(int),1286,YES,,36,28,-8,i > INT_SPACE,i != INT_SLASH && i != INT_HASH
jackson-core,src/main/java/tools/jackson/core/json/async/NonBlockingUtf8JsonParserBase.java,NonBlockingUtf8JsonParserBase,_startNameAfterComma,JsonToken _startNameAfterComma(int),551,YES,,23,21,-2,ch == INT_RCURLY,(_formatReadFeatures & FEAT_MASK_TRAILING_COMMA) != 0
jackson-core,src/main/java/tools/jackson/core/json/async/NonBlockingUtf8JsonParserBase.java,NonBlockingUtf8JsonParserBase,_finishCComment,"JsonToken _finishCComment(int, boolean)",1061,YES,,16,14,-2,ch == INT_SLASH,gotStar
jackson-core,src/main/java/tools/jackson/core/util/TextBuffer.java,TextBuffer,releaseBuffers,void releaseBuffers(),176,YES,,4,3,-1,_allocator != null,_currentSegment != null
poi,poi-ooxml/src/main/java/org/apache/poi/xssf/eventusermodel/ReadOnlySharedStringsTable.java,ReadOnlySharedStringsTable,characters,"void characters(char[], int, int)",296,YES,,11,9,-2,!inRPh,characters != null
poi,poi-ooxml/src/main/java/org/apache/poi/xssf/model/CommentsTable.java,CommentsTable,getVMLDrawing,"XSSFVMLDrawing getVMLDrawing(Sheet, boolean)",325,YES,,3,2,-1,vmlDrawing == null,sheet instanceof OoxmlSheetExtensions
poi,poi/src/main/java/org/apache/poi/hssf/model/InternalSheet.java,InternalSheet,visitContainedRecords,"void visitContainedRecords(RecordVisitor, int)",569,YES,,17,13,-4,recordBase instanceof BOFRecord,!haveSerializedIndex
poi,poi/src/main/java/org/apache/poi/hssf/model/LinkTable.java,LinkTable,getNameXPtg,"NameXPtg getNameXPtg(String, int)",610,YES,,9,7,-2,thisSheetRefIndex >= 0,sheetRefIndex == -1 || thisSheetRefIndex == sheetRefIndex
poi,poi/src/main/java/org/apache/poi/hssf/record/CFRuleBase.java,CFRuleBase,setConditionType,void setConditionType(byte),211,YES,,4,3,-1,(this instanceof CFRuleRecord),!(condition_type == CONDITION_TYPE_CELL_VALUE_IS || condition_type == CONDITION_TYPE_FORMULA)
poi,poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFChart.java,HSSFChart,createSeries,HSSFSeries createSeries(),1191,YES,,46,44,-2,record instanceof SeriesRecord,chartRecordIdx != -1
poi,poi/src/main/java/org/apache/poi/hssf/usermodel/HSSFChart.java,HSSFChart,removeSeries,boolean removeSeries(HSSFSeries),1319,YES,,35,32,-3,record instanceof DataFormatRecord,chartEntered && !removeSeries
poi,poi/src/main/java/org/apache/poi/poifs/macros/VBAMacroReader.java,VBAMacroReader,findCompressedStreamWBruteForce,byte[] findCompressedStreamWBruteForce(InputStream),814,YES,,20,16,-4,decompressed != null,decompressed.length > 9
poi,poi/src/main/java/org/apache/poi/ss/formula/FormulaCellCacheEntry.java,FormulaCellCacheEntry,isInputSensitive,boolean isInputSensitive(),48,YES,,4,3,-1,_sensitiveInputCells != null,_sensitiveInputCells.length > 0
poi,poi/src/main/java/org/apache/poi/ss/formula/FormulaUsedBlankCellSet.java,BlankCellSheetGroup,containsCell,"boolean containsCell(int, int)",107,YES,,11,8,-3,_currentRowIndex != -1 && _currentRowIndex == rowIndex,_firstColumnIndex <= columnIndex && columnIndex <= _lastColumnIndex
poi,poi/src/main/java/org/apache/poi/ss/formula/OperationEvaluatorFactory.java,OperationEvaluatorFactory,evaluate,"ValueEval evaluate(OperationPtg, ValueEval[], OperationEvaluationContext)",106,YES,,14,12,-2,result == null,ptg instanceof AbstractFunctionPtg
poi,poi/src/main/java/org/apache/poi/ss/formula/eval/RelationalOperationEval.java,RelationalOperationEval,doCompare,"int doCompare(ValueEval, ValueEval)",120,YES,,19,18,-1,va instanceof NumberEval,vb instanceof NumberEval
poi,poi/src/main/java/org/apache/poi/ss/formula/eval/TwoOperandNumericOperation.java,TwoOperandNumericOperation,evaluate,"ValueEval evaluate(int, int, ValueEval, ValueEval)",63,YES,,6,5,-1,result == 0.0,!(this instanceof SubtractEvalClass)
