project,file,class,method,methodSignature,line,eligible,discardReasons,ccBefore,ccAfter,delta,outerCondition,innerCondition
commons-collections,src/main/java/org/apache/commons/collections4/iterators/PermutationIterator.java,PermutationIterator,next,List<E> next(),119,YES,,15,12,-3,direction[i] && i < keys.length - 1 && keys[i] > keys[i + 1] || !direction[i] && i > 0 && keys[i] > keys[i - 1],keys[i] > largestKey
commons-collections,src/main/java/org/apache/commons/collections4/ArrayStack.java,ArrayStack,peek,E peek(),91,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/ArrayStack.java,ArrayStack,peek,E peek(int),108,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/ArrayStack.java,ArrayStack,pop,E pop(),122,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/ArrayStack.java,ArrayStack,search,int search(Object),156,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/ArrayUtils.java,ArrayUtils,indexOf,"int indexOf(Object[], Object, int)",73,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/ArrayUtils.java,ArrayUtils,indexOf,"int indexOf(Object[], Object, int)",76,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/ArrayUtils.java,ArrayUtils,indexOf,"int indexOf(Object[], Object, int)",79,NO,OUTER_HAS_ELSE,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/ArrayUtils.java,ArrayUtils,indexOf,"int indexOf(Object[], Object, int)",81,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/ArrayUtils.java,ArrayUtils,indexOf,"int indexOf(Object[], Object, int)",87,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,EquatorWrapper,equals,boolean equals(Object),153,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,addAll,"boolean addAll(Collection<C>, Iterable<? extends C>)",323,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,checkIndexBounds,void checkIndexBounds(int),386,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,collate,"List<O> collate(Iterable<? extends O>, Iterable<? extends O>, Comparator<? super O>, boolean)",479,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,collate,"List<O> collate(Iterable<? extends O>, Iterable<? extends O>, Comparator<? super O>, boolean)",486,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,collect,"R collect(Iterable<? extends I>, Transformer<? super I, ? extends O>, R)",516,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,collect,"Collection<O> collect(Iterable<I>, Transformer<? super I, ? extends O>)",540,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,collect,"R collect(Iterator<? extends I>, Transformer<? super I, ? extends O>, R)",568,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,containsAll,"boolean containsAll(Collection<?>, Collection<?>)",624,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,containsAll,"boolean containsAll(Collection<?>, Collection<?>)",629,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,containsAll,"boolean containsAll(Collection<?>, Collection<?>)",636,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,containsAll,"boolean containsAll(Collection<?>, Collection<?>)",642,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,containsAny,"boolean containsAny(Collection<?>, Collection<?>)",666,NO,OUTER_HAS_ELSE,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,containsAny,"boolean containsAny(Collection<?>, Collection<?>)",668,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,containsAny,"boolean containsAny(Collection<?>, Collection<?>)",674,NO,SINGLE_STATEMENT_NOT_IF,,,,,
commons-collections,src/main/java/org/apache/commons/collections4/CollectionUtils.java,CollectionUtils,containsAny,"boolean containsAny(Collection<?>, T...)",700,NO,OUTER_HAS_ELSE,,,,,
