project,file,class,method,methodSignature,line,eligible,discardReasons,ccBefore,ccAfter,delta,outerCondition,innerCondition
jackson-databind,src/main/java/tools/jackson/databind/ObjectMapper.java,ObjectMapper,treeToValue,"T treeToValue(JsonNode, Class<T>)",1289,YES,,10,8,-2,tt == JsonToken.VALUE_EMBEDDED_OBJECT,n instanceof POJONode pNode
jackson-databind,src/main/java/tools/jackson/databind/ObjectMapper.java,ObjectMapper,treeToValue,"T treeToValue(JsonNode, JavaType)",1334,YES,,10,8,-2,tt == JsonToken.VALUE_EMBEDDED_OBJECT,n instanceof POJONode pNode
jackson-databind,src/main/java/tools/jackson/databind/ObjectReader.java,ObjectReader,_verifyNoTrailingTokens,"void _verifyNoTrailingTokens(JsonParser, DeserializationContext, JavaType)",2074,YES,,6,4,-2,bt == null,_valueToUpdate != null
jackson-databind,src/main/java/tools/jackson/databind/deser/BasicDeserializerFactory.java,BasicDeserializerFactory,_handleSingleArgumentCreator,"boolean _handleSingleArgumentCreator(CreatorCollector, AnnotatedWithParams, boolean, boolean)",542,YES,,34,32,-2,type == BigInteger.class,isCreator || isVisible
jackson-databind,src/main/java/tools/jackson/databind/deser/BasicDeserializerFactory.java,BasicDeserializerFactory,_handleSingleArgumentCreator,"boolean _handleSingleArgumentCreator(CreatorCollector, AnnotatedWithParams, boolean, boolean)",547,YES,,34,32,-2,type == BigDecimal.class,isCreator || isVisible
jackson-databind,src/main/java/tools/jackson/databind/deser/SettableBeanProperty.java,SettableBeanProperty,assignIndex,void assignIndex(int),333,YES,,3,2,-1,_propertyIndex != -1,_propertyIndex != index
jackson-databind,src/main/java/tools/jackson/databind/deser/bean/BeanDeserializerBase.java,BeanDeserializerBase,_delegateDeserializer,ValueDeserializer<Object> _delegateDeserializer(JsonParser),1909,YES,,7,5,-2,_delegateDeserializer == null,_arrayDelegateDeserializer != null
jackson-databind,src/main/java/tools/jackson/databind/deser/impl/MergingSettableBeanProperty.java,MergingSettableBeanProperty,deserializeSetAndReturn,"Object deserializeSetAndReturn(JsonParser, DeserializationContext, Object)",106,YES,,5,4,-1,newValue != oldValue,newValue != null
jackson-databind,src/main/java/tools/jackson/databind/deser/impl/MethodProperty.java,MethodProperty,set,"void set(DeserializationContext, Object, Object)",173,YES,,4,3,-1,value == null,_skipNulls
jackson-databind,src/main/java/tools/jackson/databind/deser/impl/MethodProperty.java,MethodProperty,setAndReturn,"Object setAndReturn(DeserializationContext, Object, Object)",189,YES,,5,4,-1,value == null,_skipNulls
